id,zcta,fips,census_year,geo_id,population,median_age,race_total,race_white,race_black,race_native,race_asian,race_pacific,race_other,race_two_or_more,hispanic_total,hispanic_yes,nativity_total,non_citizen_total,foreign_born_universe,foreign_born_total,citizen_total,year_of_entry_total,entered_before_2010,entered_2010_or_later,household_total,household_family,household_nonfamily,household_size_total,household_size_1,household_size_2,household_size_3,household_size_4,household_size_5,household_size_6,household_size_7_plus,households_with_children_total,married_couple_with_children,single_female_with_children,single_male_with_children,multigenerational_households,total_education_population,high_school_graduate,ged,some_college,associates,bachelors_some,bachelors_complete,masters,professional,doctorate,education_by_age_total,school_enrollment_total,school_enrollment_nursery_preschool,school_enrollment_kindergarten,school_enrollment_grade_1_to_4,school_enrollment_grade_5_to_8,school_enrollment_grade_9_to_12,college_undergraduate_enrollment,college_graduate_enrollment,median_household_income,per_capita_income,income_total,income_under_10k,income_200k_plus,gini_index,employment_total,in_labor_force,civilian_labor_force,employed,unemployed,not_in_labor_force,employment_by_age_total,housing_units_total,occupancy_total,occupied,vacant,tenure_total,owner_occupied,renter_occupied,median_home_value,median_gross_rent,median_rent_as_pct_income,median_year_built,units_structure_total,units_detached,units_attached,units_2,units_3_4,units_5_9,units_10_19,units_20_49,units_50_plus,mobile_homes,year_moved_in_total,moved_in_2017_or_later,moved_2015_to_2016,moved_2010_to_2014,moved_2000_to_2009,moved_before_2000,vehicles_available_total,no_vehicle,one_vehicle,two_vehicles,three_vehicles,four_plus_vehicles,poverty_total,income_below_poverty,income_above_poverty,commute_total,commute_drove_alone,commute_carpool,commute_public_transit,commute_walked,commute_time_total,commute_time_less_5,commute_time_10_14,worked_from_home,language_total_population_5_plus,speaks_english_less_than_very_well,speaks_english_very_well,limited_english_spanish,limited_english_asian,limited_english_other,veteran_total,service_period_total,disability_total,disability_under_5,disability_5_17,disability_18_34,disability_35_64,disability_65_74,disability_75_plus,occupation_total,occupation_male_total,occupation_male_management,occupation_male_business_science_arts,occupation_male_service,occupation_male_sales_office,occupation_male_natural_resources_construction,occupation_male_production_transportation,occupation_female_total,occupation_female_management,occupation_female_business_science_arts,occupation_female_service,occupation_female_sales_office,occupation_female_natural_resources_construction,occupation_female_production_transportation,industry_total,industry_agriculture_forestry_fishing,industry_mining,industry_construction,industry_manufacturing,industry_wholesale_trade,industry_retail_trade,industry_transportation_utilities,industry_information,industry_finance_insurance_real_estate,industry_professional_scientific_management,industry_educational_services,industry_healthcare_social_assistance,industry_arts_entertainment_recreation,industry_accommodation_food_services,industry_other_services,industry_public_administration,worker_class_total,worker_class_private,worker_class_government,worker_class_self_employed,worker_class_unpaid_family,industry_median_earnings_total,industry_median_earnings_agriculture,industry_median_earnings_construction,industry_median_earnings_manufacturing,industry_median_earnings_wholesale_trade,industry_median_earnings_retail_trade,industry_median_earnings_transportation,industry_median_earnings_information,industry_median_earnings_finance,industry_median_earnings_professional,industry_median_earnings_educational,industry_median_earnings_healthcare,industry_median_earnings_arts_entertainment,industry_median_earnings_accommodation_food,industry_median_earnings_other_services,industry_median_earnings_public_admin,occupation_median_earnings_total,occupation_median_earnings_management,occupation_median_earnings_business_science_arts,occupation_median_earnings_service,occupation_median_earnings_sales_office,occupation_median_earnings_natural_resources_construction,occupation_median_earnings_production_transportation,age_0_17,age_18_34,age_35_54,age_55_74,age_75_plus,has_census_data,created_at,updated_at
12,19720,19720,2023,860Z200US19720,60593,39.7,60593,23435,26242,261,1055,78,5148,4374,60593,10554,60593,3322,7383,287,4061,9153,2293,417,23102,15001,8101,23102,15001,6093,4172,2771,1191,404,370,23102,6494,1961,2,,42728,14672,2092,2302,6160,3664,5422,3236,262,321,9241,58680,13471,1019,448,2686,3052,3259,2524,75985,37375,23102,884,1650,0.4147,48698,33260,33092,31924,1168,15438,48698,24262,24262,23102,1160,23102,15523,7579,242600,1282,30,1971,24262,14399,3713,421,715,1583,2325,348,457,301,59843,41940,1416,5099,12091,11093,23102,1300,8903,8183,3330,1386,59854,6049,1000,31450,22686,813,125,4339,27111,4041,1559,950,57214,384,0,293,82,0,47128,3135,59769,0,763,858,2185,6354,2507,31924,15825,4362,2480,1664,816,865,561,138,798,217,18,393,170,219,31924,15825,218,206,12,1513,1451,314,1832,2430,2275,155,317,1245,1024,221,1970,23102,12004,138,126,12,31924,242,1707,2072,571,3508,3191,490,3193,3289,7259,2590,1534,2278,11044,10,43996,61222,67815,71260,59892,69801,69728,13297,13095,16075,14668,3458,1,2025-12-01T16:56:23.606Z,2025-12-01T16:56:23.606Z
13,19730,19730,2023,860Z200US19730,506,38.5,506,410,65,4,0,0,9,18,506,39,506,3,9,3,6,14,3,0,207,135,72,207,135,44,59,18,6,8,0,207,88,2,0,,338,75,14,12,53,21,101,46,3,4,154,473,136,1,15,63,19,25,8,81927,43652,207,5,20,0.4035,361,234,234,232,2,127,361,227,227,207,20,207,175,32,299300,1344,27.2,1952,227,209,6,9,0,0,0,0,0,0,506,429,20,26,137,181,207,5,66,99,22,15,506,6,28,230,193,2,0,30,200,9,16,1,472,0,0,1,0,0,352,35,506,0,0,8,6,40,58,232,129,31,15,11,4,10,10,0,0,0,0,0,0,6,232,129,0,0,0,34,5,24,7,14,14,0,0,12,9,3,10,183,116,0,0,0,232,0,34,26,24,7,18,0,16,15,75,8,0,9,98,0,59500,75000,82500,86458,75313,115833,,154,82,116,118,36,1,2025-12-01T16:57:04.053Z,2025-12-01T16:57:04.053Z
15,19732,19732,2023,860Z200US19732,155,72.7,155,155,0,0,0,0,0,0,155,0,155,0,0,0,0,0,0,0,85,68,17,85,68,68,0,0,0,0,0,85,0,0,0,,155,0,0,0,0,0,116,13,18,8,155,155,0,0,0,0,0,0,0,250001,220709,85,13,57,0.4554,155,71,71,71,0,84,155,85,85,85,0,85,85,0,704900,,-666666666,1938,85,61,15,0,0,0,9,0,0,0,155,155,0,26,33,41,85,0,17,27,41,0,155,24,0,71,60,0,0,11,60,19,0,0,155,0,0,0,0,0,155,9,155,0,0,0,0,0,38,71,21,21,0,0,0,0,0,0,14,0,14,0,0,7,71,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,0,0,0,71,0,27,0,0,0,0,0,0,14,30,0,0,0,33,0,9836,71979,,,,,,0,0,11,105,39,1,2025-12-01T16:58:24.944Z,2025-12-01T16:58:24.944Z
16,19733,19733,2023,860Z200US19733,182,51.3,182,99,0,0,0,0,0,83,182,83,182,38,38,0,0,38,0,0,75,52,23,75,52,21,11,20,0,0,0,75,0,0,0,,162,72,0,12,21,23,23,11,0,0,34,182,20,0,0,0,0,0,20,,27201,75,0,0,0.3838,182,118,118,98,20,64,182,114,114,75,39,75,55,20,220500,,-666666666,1938,114,74,40,0,0,0,0,0,0,0,182,99,0,0,0,0,75,0,0,0,41,34,182,0,0,98,98,0,0,0,98,0,30,0,182,0,0,0,0,0,182,0,182,0,20,0,0,11,0,98,78,11,0,0,0,11,0,11,0,0,0,0,0,0,98,78,0,0,0,18,23,0,0,0,0,0,0,0,0,0,25,49,29,0,0,0,98,0,18,23,0,0,0,0,0,25,11,21,0,0,20,0,24167,,,,,,,0,56,50,53,23,1,2025-12-01T16:59:05.397Z,2025-12-01T16:59:05.397Z
17,19734,19734,2023,860Z200US19734,14151,38.4,14151,9455,3136,0,328,45,301,886,14151,766,14151,156,806,40,650,856,313,31,4454,3392,1062,4454,3392,912,938,827,556,102,57,4454,1905,324,0,,9370,2569,323,680,1186,1082,1824,1066,88,75,3053,13642,4004,131,127,681,1342,1029,501,131745,46173,4454,16,794,0.3581,10879,7342,7342,7160,182,3537,10879,4689,4689,4454,235,4454,3973,481,426300,1342,30.3,2003,4689,3863,481,7,13,0,0,25,106,194,14124,12744,202,2591,4328,3684,4454,153,923,1854,856,668,14101,522,373,7073,5078,122,0,1253,5820,678,720,514,13443,0,0,86,42,0,10225,865,14151,0,81,99,335,1387,737,7160,3623,1315,849,629,220,239,179,0,165,67,20,30,48,62,7160,3623,19,19,0,836,377,95,473,326,326,0,26,234,234,0,411,5662,3101,16,16,0,7160,37,1079,545,122,686,372,46,709,652,1835,398,145,534,3272,11,65422,82891,95370,97278,92361,125074,125368,3926,2668,4350,2626,581,1,2025-12-01T16:59:45.854Z,2025-12-01T16:59:45.854Z
19,19736,19736,2023,860Z200US19736,13,-666666666,13,13,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,13,0,13,13,0,0,0,0,0,0,0,13,0,0,0,,13,0,0,0,0,0,13,0,0,0,13,13,0,0,0,0,0,0,0,,,13,0,0,-666666666,13,0,0,0,0,13,13,13,13,13,0,13,13,0,,,-666666666,,13,13,0,0,0,0,0,0,0,0,13,13,0,0,0,0,13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,13,0,,2025-12-01T17:01:06.688Z,2025-12-01T17:01:06.688Z
20,19801,19801,2023,860Z200US19801,16170,35,16170,2709,10967,20,693,0,645,1136,16170,1459,16170,906,1438,60,532,1825,707,44,8041,3218,4823,8041,3218,1406,969,570,192,81,0,8041,1741,1157,7,,11478,3359,467,534,1568,784,1402,995,332,261,2990,15842,3781,310,58,632,972,939,664,44505,33326,8041,819,331,0.4972,13357,8772,8755,7968,787,4585,13357,9390,9390,8041,1349,8041,2345,5696,196000,1126,29.8,1958,9390,775,3469,495,938,428,211,554,2477,34,15811,5055,743,602,1203,1328,8041,2279,4272,1295,195,0,16111,4646,133,7744,4326,872,28,992,6752,854,472,208,15486,55,11,97,64,0,12732,582,16153,35,309,204,290,2630,559,7968,3550,1386,523,246,277,430,218,132,274,69,74,54,77,159,7968,3550,8,8,0,393,406,32,438,360,327,33,27,446,414,32,347,5731,2703,8,8,0,7968,8,427,561,32,1181,659,76,750,874,2061,481,440,418,3034,0,40136,66784,75139,63942,77326,77019,99911,3421,4644,4105,3378,622,1,2025-12-01T17:01:47.108Z,2025-12-01T17:01:47.108Z
21,19802,19802,2023,860Z200US19802,25670,37,25670,5822,17666,31,259,0,551,1341,25670,1752,25670,897,2798,247,1901,3088,869,37,10504,5364,5140,10504,5364,2190,1671,1037,184,221,61,10504,2466,1209,0,,18077,5328,1120,1274,2168,1161,2753,1405,388,514,5060,24559,5484,647,189,1105,894,1376,843,54370,34490,10504,816,542,0.483,20844,13656,13647,12452,1195,7188,20844,11596,11596,10504,1092,10504,5000,5504,188400,1236,32.3,1951,11596,1296,6275,679,442,696,488,494,1189,37,24236,12437,1110,1423,2872,3490,10504,1961,4824,2714,801,204,24275,4915,708,12142,7830,915,0,1734,10408,2192,546,444,23689,63,0,136,0,0,20214,1407,24306,66,556,292,834,2779,1273,12452,6270,2292,953,499,454,360,131,93,749,357,167,168,57,230,12452,6270,5,5,0,707,419,44,756,1028,908,120,50,595,548,47,528,8967,4688,0,0,0,12452,14,707,645,44,1374,1242,83,1450,1426,3173,891,475,928,5384,5,43677,66057,71073,72344,70645,72061,48661,5447,6720,6240,5939,1324,1,2025-12-01T17:02:27.531Z,2025-12-01T17:02:27.531Z
22,19803,19803,2023,860Z200US19803,21971,46.4,21971,18978,1158,17,798,0,318,702,21971,1081,21971,681,1639,410,958,1769,390,12,8723,6225,2498,8723,6225,2946,1547,1158,428,120,26,8723,2509,359,0,,16192,2122,205,803,1375,1213,5184,3016,788,929,9917,21464,4895,528,286,894,1008,1182,707,133941,73167,8723,158,2603,0.4729,17865,11404,11307,10709,598,6461,17865,8900,8900,8723,177,8723,7854,869,436200,1736,26.8,1960,8900,7784,469,0,91,70,101,75,301,9,21385,19389,1437,2470,5156,4831,8723,216,2263,4258,1476,510,21433,531,554,10558,7426,63,0,2190,8368,1229,614,226,20938,0,0,347,38,23,17233,1058,21500,0,213,201,459,1337,1550,10709,5851,3229,1612,970,642,615,282,167,638,30,222,247,139,364,10709,5851,13,13,0,420,531,177,538,350,296,54,218,833,760,73,1031,8585,4959,8,8,0,10709,13,448,865,233,1052,460,289,1374,1650,2897,738,325,365,6591,0,80994,99058,116692,137467,97262,103177,91230,4641,3110,6069,5878,2273,1,2025-12-01T17:03:07.987Z,2025-12-01T17:03:07.987Z
23,19804,19804,2023,860Z200US19804,18231,41,18231,12180,2405,56,279,16,1753,1542,18231,3274,18231,860,1824,199,964,2303,541,172,7627,4388,3239,7627,4388,1825,1138,936,356,87,46,7627,2067,609,0,,13292,4097,673,798,2013,1165,1971,868,106,154,3099,17660,3722,160,181,514,721,1199,778,76204,45369,7627,336,584,0.4829,15543,10314,10314,9711,603,5229,15543,8075,8075,7627,448,7627,5773,1854,244700,1157,26.6,1957,8075,5495,1064,170,441,277,535,14,15,64,18215,14148,787,2061,3139,3589,7627,448,3102,2606,998,473,18200,1546,243,9562,7255,137,0,962,8600,1239,590,315,17320,182,0,94,67,0,14707,729,18231,0,68,157,660,2026,738,9711,4620,1197,551,442,109,407,315,30,162,0,43,63,56,77,9711,4620,99,92,7,767,306,59,625,625,602,23,103,271,227,44,676,6938,3649,99,92,7,9711,119,805,437,99,1505,852,154,689,1179,2255,954,421,242,3658,5,46640,64631,73171,69464,78616,72460,79432,3524,4162,5110,3821,1614,1,2025-12-01T17:03:48.434Z,2025-12-01T17:03:48.434Z
